episode,score,epsilon,memory_len
0,-124.02460172223579,0.9956095562975625,88
1,-341.9487205018641,0.990941054243413,182
2,-440.51353389656805,0.9858014069337225,286
3,-185.10607455968682,0.981718706489678,369
4,-400.54155729246077,0.9762851239671341,480
5,-115.96135160687015,0.9697172267726788,615
6,-226.4235944568818,0.9644947365991948,723
7,-170.21562329007054,0.9597321656756141,822
8,-303.5485151542236,0.9529420310473808,964
9,-150.5428005207145,0.9479520707417339,1069
10,-234.19169185768013,0.9437901405425337,1157
11,-144.11321287239096,0.9393176561218234,1252
12,-322.4174439961811,0.932998455258375,1387
13,-168.64652424444267,0.9282985727530795,1488
14,-146.01754612995194,0.9254252313237513,1550
15,-121.14469593976044,0.9207634981449402,1651
16,-176.6857793631827,0.9155757239479908,1764
17,-203.54564430196203,0.9098710786428349,1889
18,-167.21607444886683,0.9056046119614075,1983
19,-358.94924443049376,0.900052096270807,2106
20,-101.72686043507011,0.8961004682128693,2194
21,-201.61011713057752,0.8913635811474366,2300
22,-18.92512600446481,0.8478902064170248,3300
23,-163.1072124302966,0.8441253838202933,3389
24,-170.15542028526988,0.8381950804879571,3530
25,-374.76737285949974,0.832930919394839,3656
26,-159.76704212783164,0.8271206174829819,3796
27,-231.5299486219111,0.8224193238459387,3910
28,-142.2114996499065,0.8174994592589384,4030
29,-94.90535524314703,0.8127715683348368,4146
30,-243.75346657227976,0.8097293067022067,4221
31,-85.07469889514515,0.8035985371352549,4373
32,-233.48237545029346,0.7979529503847816,4514
33,-195.7009123005589,0.7923866453704819,4654
34,-159.42297517880874,0.7867411464277368,4797
35,-176.02317833170503,0.7826997440314639,4900
36,-137.24282124988238,0.779692068315375,4977
37,-169.46752487342337,0.7763465068940226,5063
38,-271.3552694110317,0.7733245765627859,5141
39,-205.12717901722314,0.7689675040982038,5254
40,-207.48039240334333,0.7645585187050619,5369
41,-168.52705152020354,0.7586180118411149,5525
42,-157.98283582352747,0.7543437992391818,5638
43,-30.52377755910726,0.7492315349948508,5774
44,-234.29208603381102,0.743967897206158,5915
45,-162.53080858704948,0.7391107107004655,6046
46,-234.22382792677018,0.7337714029425483,6191
47,-124.87974113876155,0.7294183175388974,6310
48,-110.71348168332783,0.7252360930750814,6425
49,-154.69409412790975,0.7213663440416465,6532
50,-222.62269021983587,0.7158330155129062,6686
51,-139.7561752882813,0.7127258272493134,6773
52,-181.54154608928926,0.7089228310837365,6880
53,-134.91949299200408,0.7041888064560041,7014
54,-151.30446770692822,0.7001512390098749,7129
55,35.037323488048024,0.6660036276140209,8129
56,-150.35935156520085,0.6593766159459352,8329
57,-106.47817918416551,0.6543515047628259,8482
58,-24.77361399284075,0.647646108699861,8688
59,-150.01719620887667,0.6442225791023407,8794
60,-328.18481113012535,0.6384823692699367,8973
61,-136.5836007205996,0.6346311164409486,9094
62,-214.55636047806837,0.6289134732553304,9275
63,-125.63822231576447,0.6256828141886177,9378
64,-68.97877145282636,0.6220642673320238,9494
65,-124.10655030162842,0.6178175824343918,9631
66,-114.19684585856746,0.612710791330363,9797
67,-85.17551032572204,0.6095328854833961,9901
68,-133.2850299072177,0.6071299194933507,9980
69,-152.7731089710085,0.6046154885192481,10063
70,-173.22054657091007,0.5979113035060322,10286
71,-113.65071009868358,0.5944533692000864,10402
72,-170.69464576332314,0.5912223301404241,10511
73,-114.17390627487096,0.5844912750129988,10740
74,-162.37293351529638,0.5798628759298435,10899
75,-141.70401124332238,0.5769707256470032,10999
76,-44.12343825918116,0.5709155304295563,11210
77,-156.65394622479545,0.5669329773501567,11350
78,-103.7563045127929,0.5614601766444485,11544
79,-150.46162004625018,0.5593306234476252,11620
80,-226.51694840556365,0.5560680101830371,11737
81,-81.23801493620113,0.5531009162042947,11844
82,-193.08941227025943,0.5452749251167806,12129
83,-234.1606781390719,0.5403893467314211,12309
84,-139.44572033095707,0.5363246690127285,12460
85,-333.25825770775356,0.5319180824913982,12625
86,-213.0896483059065,0.528524592676303,12753
87,-12.616691078252018,0.5258096202040613,12856
88,-109.73093056737545,0.5189662649389171,13118
89,-158.43868998713876,0.5152172723125491,13263
90,-131.64394441549925,0.5111118749835526,13423
91,-165.45516773486742,0.5073435130347568,13571
92,-120.64000416209758,0.5031750434203738,13736
93,-82.82626215464781,0.4987664192192323,13912
94,-99.3782809745972,0.4962787492884698,14012
95,-91.181475767724,0.4915371508432198,14204
96,-113.55847721402556,0.4888410501839042,14314
97,-84.43891555312979,0.4848973327022479,14476
98,-150.9039826201702,0.48052870050280977,14657
99,-68.74315734711894,0.47655671951242007,14823
100,-83.03133449635061,0.4677744730605372,15195
101,-79.51674131663452,0.4646740157492746,15328
102,-39.615448693064366,0.46078700514162535,15496
103,-118.51260065936603,0.45812210955682836,15612
104,-19.087282299819577,0.4357786858829409,16612
105,-52.44334282785401,0.4292476975091136,16914
106,-288.2437191536309,0.4266585243558144,17035
107,-113.20766591693962,0.411448177667476,17761
108,4.263209028123839,0.4072929979945478,17964
109,-77.24140219820369,0.40227362377056103,18212
110,-116.95538818116643,0.3996272941889138,18344
111,-159.5093181968376,0.39529490279991053,18562
112,-81.44132500076398,0.3914398370512916,18758
113,-12.699289360228965,0.3723486254733688,19758
114,-235.46424865547147,0.35925400949306857,20474
115,-96.81964342829063,0.34173255751946396,21474
116,20.585067741276916,0.3250656576765275,22474
117,-125.23584408743604,0.32266899049815717,22622
118,-126.68065888335347,0.30693185445794346,23622
119,70.15686686527738,0.2919622463117675,24622
120,-74.05904227532051,0.28483893578899167,25116
121,-22.595699767666677,0.2709468382709103,26116
122,-203.1406233606485,0.2672199993244092,26393
123,-230.75513378614014,0.26077857526283915,26881
124,-137.26174283698174,0.2546706353195376,27355
125,35.45862092213625,0.2454075156213152,28096
126,-187.0889389787562,0.24277130968348443,28312
127,-192.85279193029226,0.23619770834355044,28861
128,-218.4959167316177,0.22856448492370368,29518
129,-169.09889875071798,0.22704953601308853,29651
130,-165.26095940622935,0.22485774807594866,29845
131,-234.86240605017971,0.21783048699261606,30480
132,-192.11655427289554,0.21286679647928583,30941
133,-223.89877578782546,0.2068338642115874,31516
134,-209.8174383311967,0.20188844202629033,32000
135,-233.23170567863002,0.1968938303794829,32501
136,-152.82956094336961,0.19482746803723072,32712
137,-174.02025800434794,0.18532538863338457,33712
138,-218.29685543508717,0.1788437013435179,34424
139,-248.69906905047554,0.1719856890261202,35206
140,-194.4845508475853,0.1672702177301933,35762
141,-148.83236917436503,0.16606186401773118,35907
142,-114.04663488143478,0.16332792321627476,36239
143,-284.79239829513574,0.15697852105766733,37032
144,-224.2933136880075,0.15129144333644848,37770
145,-169.90649333946695,0.1475854669452191,38266
146,-261.5100265100186,0.1407740698263214,39211
147,-96.82859089724379,0.1339082700344943,40211
148,-118.63944200015327,0.12737732741373228,41211
149,-152.83523356423825,0.12543069544426713,41519
150,-137.85460114802564,0.11931321909558651,42519
151,-189.11412667596875,0.11541118777705507,43184
152,-51.79117891244542,0.10978238049747668,44184
153,-143.61263444548754,0.10442810008137572,45184
154,-245.2343820704774,0.100634774817952,45924
155,-157.38465792875053,0.09852864748470232,46347
156,-253.55932887309646,0.0938639253443073,47317
157,-295.5038157144495,0.08969768816103224,48225
158,22.56089833460068,0.08563497934912183,49152
159,-133.95866285226768,0.08145841029692556,50152
160,-224.592139306827,0.07799084900485428,51022
161,-102.58453591123407,0.07418709767818876,52022
162,-158.48210176276106,0.07056886201572912,53022
163,-125.17843682454873,0.06908505785848809,53447
164,-120.04406123472471,0.0657156576809668,54447
165,-113.98593428681994,0.06251058909566266,55447
166,-136.64444226110152,0.059461837360847286,56447
167,-200.33820760725465,0.056561778627889865,57447
168,-139.95674798393745,0.05380316087670973,58447
169,-119.32576721927973,0.05117908578104243,59447
170,-162.24999736910206,0.05,60008
171,-262.8688378326865,0.05,60910
172,-177.45905377760343,0.05,61910
173,-270.0974728842942,0.05,62703
174,-133.6889402726655,0.05,63703
175,-227.50517651631736,0.05,64523
176,-156.55697898840828,0.05,65523
177,-135.21678805750037,0.05,66523
178,-161.17602721637758,0.05,67523
179,-157.0262362947496,0.05,68523
180,-127.32345649341997,0.05,69523
181,-93.408436898897,0.05,70523
182,-110.22462267843288,0.05,71523
183,-148.44776670819851,0.05,72523
184,-184.25182569382304,0.05,73523
185,-54.93171508641402,0.05,74523
186,-248.680305827004,0.05,75396
187,-190.73963175874403,0.05,76396
188,-134.01357366697565,0.05,77396
189,-106.1847049361078,0.05,78396
190,-150.4049701912402,0.05,79396
191,-154.7212215154,0.05,80396
192,-154.8849632729737,0.05,81396
193,-153.421185889643,0.05,82396
194,-133.62607613539052,0.05,83396
195,-157.90245078303718,0.05,84396
196,-144.9696392414988,0.05,85396
197,-116.0385490946039,0.05,86396
198,-135.40427015538194,0.05,87396
199,-86.57687283901139,0.05,88396
200,-208.5277335111605,0.05,89218
201,-173.72266327935907,0.05,90218
202,-141.23875659947572,0.05,91218
203,-116.34660252954141,0.05,92218
204,-156.7404329892195,0.05,93218
205,-161.41988497646867,0.05,94218
206,-54.26403472610773,0.05,95218
207,-129.90413174329834,0.05,96218
208,-118.34494638532458,0.05,97218
209,-156.49854839875428,0.05,98218
210,-122.29353089723823,0.05,99218
211,-124.46392748476104,0.05,100000
212,-124.64349663012457,0.05,100000
213,-119.68137474003473,0.05,100000
214,-148.6082698100293,0.05,100000
215,-106.95873334513425,0.05,100000
216,-119.67886357856054,0.05,100000
217,-106.29227097216182,0.05,100000
218,-129.62980317792665,0.05,100000
219,-135.67938475572447,0.05,100000
220,-142.03766752773123,0.05,100000
221,-120.24986992681453,0.05,100000
222,-115.38717414681753,0.05,100000
223,-117.36004741710852,0.05,100000
224,-130.1517391008394,0.05,100000
225,-131.50735685488496,0.05,100000
226,-116.85252932765786,0.05,100000
227,-108.61893604863296,0.05,100000
228,-107.93931185481314,0.05,100000
229,-72.2916948908618,0.05,100000
230,-86.67071597087777,0.05,100000
231,-68.1381702032756,0.05,100000
232,-74.65564492355611,0.05,100000
233,-43.32873987160281,0.05,100000
234,-59.37052602488539,0.05,100000
235,-58.02833798341815,0.05,100000
236,-70.79029347267267,0.05,100000
237,-107.32671584232662,0.05,100000
238,-106.54693410313786,0.05,100000
239,-70.88625600353325,0.05,100000
240,-39.33174570836909,0.05,100000
241,-114.30655056719617,0.05,100000
242,-81.71933075941955,0.05,100000
243,-51.603081100856684,0.05,100000
244,-96.19490848844295,0.05,100000
245,-92.65567903040589,0.05,100000
246,-87.27012925401985,0.05,100000
247,-85.6628984089523,0.05,100000
248,-78.74995000767544,0.05,100000
249,-119.80547654824873,0.05,100000
250,-75.54508811257688,0.05,100000
251,-65.161759310607,0.05,100000
252,-79.39447331052793,0.05,100000
253,-76.53306470034289,0.05,100000
254,-78.43795061286498,0.05,100000
255,-66.50038495618554,0.05,100000
256,-45.45126480021736,0.05,100000
257,45.87992200538912,0.05,100000
258,-79.61975090376373,0.05,100000
259,-70.85083315852334,0.05,100000
260,-81.7108709850537,0.05,100000
261,-279.9113263214558,0.05,100000
262,-63.56389874574606,0.05,100000
263,-43.678370831682784,0.05,100000
264,81.25180228532903,0.05,100000
265,-75.83360737116382,0.05,100000
266,-67.74712645830937,0.05,100000
267,-64.48255779656347,0.05,100000
268,-86.6752022943642,0.05,100000
269,-61.21958676319137,0.05,100000
270,101.79880867915804,0.05,100000
271,-28.47766627008162,0.05,100000
272,-98.47722096078535,0.05,100000
273,-78.33343323457488,0.05,100000
274,-90.55364328417103,0.05,100000
275,-74.82710767834202,0.05,100000
276,-85.18546620317046,0.05,100000
277,-62.19499574860096,0.05,100000
278,-72.0377507463148,0.05,100000
279,-70.80163475906114,0.05,100000
280,-40.0143037368193,0.05,100000
281,-89.48122660253748,0.05,100000
282,-85.64099749539798,0.05,100000
283,-92.48482375790442,0.05,100000
284,-38.17318229018278,0.05,100000
285,-91.66713410269153,0.05,100000
286,-116.76143011571376,0.05,100000
287,-50.9727797778984,0.05,100000
288,-99.66136020107353,0.05,100000
289,-107.29894110987175,0.05,100000
290,-56.06429463234979,0.05,100000
291,-64.52503989424034,0.05,100000
292,-89.09619561983943,0.05,100000
293,-100.32973796310557,0.05,100000
294,-53.09168296119116,0.05,100000
295,-87.58506642010046,0.05,100000
296,-62.66200745491449,0.05,100000
297,-94.13463400504963,0.05,100000
298,-84.426979216326,0.05,100000
299,-83.47310932007768,0.05,100000
300,-99.3756814187569,0.05,100000
301,119.54874052876968,0.05,100000
302,63.31012316755191,0.05,100000
303,20.12036675435266,0.05,100000
304,-50.87774185526226,0.05,100000
305,-79.61172887101844,0.05,100000
306,22.192832863302694,0.05,100000
307,57.33803335579344,0.05,100000
308,-114.73381952724736,0.05,100000
309,37.72147346236676,0.05,100000
310,-53.18537444949625,0.05,100000
311,-115.14550934391485,0.05,100000
312,-144.22803608258192,0.05,100000
313,8.747065866227532,0.05,100000
314,19.45381356634973,0.05,100000
315,-89.69524554099921,0.05,100000
316,117.46690809049072,0.05,100000
317,79.87571438738746,0.05,100000
318,-142.3672521587922,0.05,100000
319,49.59576940209079,0.05,100000
320,-70.60780550919056,0.05,100000
321,102.80697188777668,0.05,100000
322,-61.50651493946317,0.05,100000
323,-66.02534766111853,0.05,100000
324,-137.3264685047377,0.05,100000
325,-80.83870453681506,0.05,100000
326,-70.0769497412391,0.05,100000
327,-97.10034845238626,0.05,100000
328,-72.24019793631737,0.05,100000
329,-98.77937740194228,0.05,100000
330,-92.93846512291613,0.05,100000
331,187.37266680191505,0.05,100000
332,209.3117006804381,0.05,100000
333,-60.12371906553005,0.05,100000
334,-94.20110866078974,0.05,100000
335,-96.28154855544798,0.05,100000
336,-61.583496091278285,0.05,100000
337,-38.66636882337692,0.05,100000
338,-59.6177769043982,0.05,100000
339,-55.62817278533474,0.05,100000
340,-62.2081943878097,0.05,100000
341,-96.72375162957914,0.05,100000
342,27.702783844295126,0.05,100000
343,-52.82858771101969,0.05,100000
344,-54.76688662804183,0.05,100000
345,-32.86924445540703,0.05,100000
